regulation_id,requirement_id,section_id,description,requirement_type,is_quantitative,applies_to_loan_type,severity
APS-112,APS-112-REQ-001,APS-112-S2,"This Prudential Standard applies to all ADIs except foreign ADIs and purchased payment facility providers, on both Level 1 and Level 2 bases.",governance,False,all,mandatory
APS-112,APS-112-REQ-002,APS-112-S2,"Where an ADI is the holding company for a group, it must ensure requirements are met on a Level 2 basis. Where an ADI is a subsidiary of an authorised NOHC, the NOHC must ensure requirements are met on a Level 2 basis.",governance,False,all,mandatory
APS-112,APS-112-REQ-003,APS-112-S6,"ADIs must apply this Standard to calculate RWA for credit exposures of overseas banking subsidiaries forming part of the Level 2 group, except where a prescribed New Zealand authority's equivalent prudential rules apply.",capital,False,all,mandatory
APS-112,APS-112-REQ-004,APS-112-S8,"An ADI must hold Regulatory Capital commensurate with its credit risk exposure, applying specified risk weights and CCFs, and using ECAI ratings where appropriate.",capital,False,all,mandatory
APS-112,APS-112-REQ-005,APS-112-S8,"An ADI must establish and implement effective internal policies, processes, systems and controls to ensure appropriate risk weights are assigned to its credit exposures.",governance,False,all,mandatory
APS-112,APS-112-REQ-006,APS-112-S8,"If an ADI seeks to use LMI or eligible CRM techniques to reduce Regulatory Capital requirements, it must have effective policies, procedures and systems in place, including addressing residual risks such as legal, operational, liquidity and market risks.",governance,False,all,mandatory
APS-112,APS-112-REQ-007,APS-112-S9,"An ADI must calculate RWA for on-balance sheet exposures by multiplying the current book value (including accrued interest or revaluations, net of provisions, write-offs and depreciation) by the relevant risk weight.",capital,False,all,mandatory
APS-112,APS-112-REQ-008,APS-112-S9,"The RWA of a non-SFT off-balance sheet exposure must be calculated by first determining EAD per Attachment C or APS 180, then multiplying by the relevant risk weight.",capital,False,all,mandatory
APS-112,APS-112-REQ-009,APS-112-S9,"For SFTs, an ADI must calculate RWA for counterparty exposure (EAD per Attachment G multiplied by relevant risk weight) and the capital requirement for credit or market risk in any securities lent or posted as collateral where that risk remains with the ADI.",capital,False,all,mandatory
APS-112,APS-112-REQ-010,APS-112-S10,"Where multiple CRM techniques cover a single exposure, the ADI must divide the exposure into separately calculated portions and total the resulting RWA.",capital,False,all,mandatory
APS-112,APS-112-REQ-011,APS-112-S10,An ADI must not recognise additional CRM on exposures where the risk weight is mapped from an ECAI issue-specific credit rating that already incorporates CRM.,collateral,False,all,mandatory
APS-112,APS-112-REQ-012,APS-112-S10,An ADI must not recognise CRM where there is a material positive correlation between the credit quality of the counterparty and the CRM technique used.,collateral,False,all,mandatory
APS-112,APS-112-REQ-013,APS-112-S10,"To obtain capital relief through CRM, all documentation must be legally binding and enforceable in all relevant jurisdictions, with sufficient legal review and periodic reviews to confirm ongoing enforceability.",collateral,False,all,mandatory
APS-112,APS-112-REQ-014,APS-112-ATT-A,"Property exposures must be risk-weighted according to Attachment A requirements, except defaulted property exposures which must be risk-weighted under Attachment E.",capital,False,all,mandatory
APS-112,APS-112-REQ-015,APS-112-ATT-A,A loan must meet all requirements in paragraphs 3 to 7 of Attachment A to be classified as a standard loan.,origination,False,all,mandatory
APS-112,APS-112-REQ-016,APS-112-ATT-A,"An ADI must have unequivocal enforcement rights over mortgaged property at all times, including right to possession and power of sale, and must reasonably consider it can realise the property's value within a reasonable timeframe.",collateral,False,all,mandatory
