regulation_id,threshold_id,requirement_id,metric,operator,value,value_upper,unit,condition_context,consequence,threshold_type
APG-223,APG-223-THR-001,APG-223-REQ-020,serviceability_interest_rate_buffer,>=,3.0,,percent,"{""loan_type"": ""residential_secured"", ""application"": ""applied to loan interest rate ignoring honeymoon/introductory rates"", ""applies_to"": ""new and existing debt commitments""}",Mandatory minimum buffer under APS 220 Attachment C; ensures borrower capacity to repay under rising interest rate scenarios,minimum
APG-223,APG-223-THR-002,APG-223-REQ-023,credit_card_revolving_debt_repayment_rate,==,3.0,,percent,"{""loan_type"": ""residential_secured"", ""debt_type"": ""credit card or revolving personal debt"", ""basis"": ""per month on total committed limit""}",Used as a suitably prudent repayment obligation estimate for credit card and revolving debt in serviceability calculations,informational
APG-223,APG-223-THR-003,APG-223-REQ-025,income_haircut_non_salary,>=,20.0,,percent,"{""income_type"": ""most types of non-salary income"", ""examples"": ""bonuses, overtime, variable commissions, investment income, child support, social security payments, pensions, superannuation income"", ""note"": ""higher discount may be appropriate in some cases""}",Minimum discount applied to non-salary income in serviceability assessment to reflect uncertainty and variability,minimum
APG-223,APG-223-THR-004,APG-223-REQ-028,income_haircut_rental,>=,20.0,,percent,"{""income_type"": ""expected rental income on investment properties"", ""note"": ""larger haircuts appropriate for properties with higher risk of non-occupancy""}",Minimum haircut applied to expected rental income in serviceability assessment to reflect periods of non-occupancy,minimum
APG-223,APG-223-THR-005,APG-223-REQ-056,LVR,>=,90.0,,percent,"{""loan_type"": ""residential_secured"", ""LVR_basis"": ""including capitalised LMI premium or other fees"", ""note"": ""APRA has not formally defined high LVR lending but experience shows LVRs above 90% clearly expose ADI to higher risk of loss""}","Significant increases in high LVR lending should trigger senior management review of risk targets and internal controls, with Board oversight",trigger
APS-112,APS-112-THR-041,APS-112-REQ-032,commercial_property_haircut_in_LVR_calculation,==,40.0,,percent,"{""loan_type"": ""residential_secured"", ""security_type"": ""mixed_residential_and_commercial""}",ADI must apply a 40 per cent haircut to the value of any commercial property when calculating LVR for a residential property exposure secured by both residential and commercial properties.,informational
APS-112,APS-112-THR-042,APS-112-REQ-036,LMI_loss_coverage,>=,40.0,,percent,"{""loan_type"": ""residential_secured"", ""coverage_base"": ""higher_of_original_and_outstanding_loan_amount""}",LMI is eligible to reduce capital requirements only if it covers all losses up to at least 40 per cent of the higher of the original or outstanding loan amount.,minimum
APS-112,APS-112-THR-043,APS-112-REQ-037,risk_weight,==,20.0,,percent,"{""loan_type"": ""residential_secured"", ""loan_category"": ""owner_occupied_principal_and_interest"", ""LMI"": ""with_LMI"", ""LVR_band"": ""0-60""}",ADI must apply a 20 per cent risk weight to owner-occupied P&I standard loans with LMI and LVR ≤60%.,informational
APS-112,APS-112-THR-044,APS-112-REQ-037,risk_weight,==,20.0,,percent,"{""loan_type"": ""residential_secured"", ""loan_category"": ""owner_occupied_principal_and_interest"", ""LMI"": ""with_LMI"", ""LVR_band"": ""60.01-70""}",ADI must apply a 20 per cent risk weight to owner-occupied P&I standard loans with LMI and LVR 60.01–70%.,informational
APS-112,APS-112-THR-045,APS-112-REQ-037,risk_weight,==,25.0,,percent,"{""loan_type"": ""residential_secured"", ""loan_category"": ""owner_occupied_principal_and_interest"", ""LMI"": ""with_LMI"", ""LVR_band"": ""70.01-80""}",ADI must apply a 25 per cent risk weight to owner-occupied P&I standard loans with LMI and LVR 70.01–80%.,informational
