regulation_id,section_id,section_number,title,content_summary,text,section_type,paragraph_range,source_page_start,source_page_end
APS-112,APS-112-S1,1,Authority,This Prudential Standard is made under section 11AF of the Banking Act 1959.,1. This Prudential Standard is made under section 11AF of the Banking Act 1959 (Banking Act).,core,1,3,3
APS-112,APS-112-S2,2-5,Application and commencement,"This Prudential Standard applies to all ADIs except foreign ADIs and purchased payment facility providers, on both Level 1 and Level 2 bases. It commences on 1 July 2025.","2. This Prudential Standard applies to all authorised deposit-taking institutions (ADIs) with the exception of:
(a) foreign ADIs; and
(b) purchased payment facility providers.
3. A reference to an ADI in this Prudential Standard, unless otherwise indicated, is a reference to:
(a) an ADI on a Level 1 basis; and
(b) a group of which an ADI is a member on a Level 2 basis.
4. If an ADI to which this Prudential Standard applies is:
(a) the holding company for a group, the ADI must ensure that the requirements in this Prudential Standard are met on a Level 2 basis, where applicable; or
(b) a subsidiary of an authorised non-operating holding company (authorised NOHC), the authorised NOHC must ensure that the requirements in this Prudential Standard are met on a Level 2 basis, where applicable.
5. This Prudential Standard commences on 1 July 2025.",core,2-5,3,3
APS-112,APS-112-S3,6-8,Interpretation,"Defined terms appear in bold on first use. APRA exercises powers in writing. References to Acts, Regulations or Prudential Standards are to those instruments as in force from time to time.","6. Terms that are defined in Prudential Standard APS 001 Definitions appear in bold the first time they are used in this Prudential Standard.
7. Where this Prudential Standard provides for APRA to exercise a power or discretion, the power or discretion is to be exercised in writing.
8. In this Prudential Standard, unless the contrary intention appears, a reference to an Act, Regulations or Prudential Standard is a reference to the Act, Regulations or Prudential Standard as in force from time to time.",core,6-8,3,3
APS-112,APS-112-S4,9,Adjustments and exclusions,APRA may adjust or exclude specific prudential requirements in this Standard for one or more specified ADIs or authorised NOHCs.,"9. APRA may adjust or exclude a specific prudential requirement in this Prudential Standard in relation to one or more specified ADIs or authorised NOHCs.1
1 Refer to subsection 11AF(2) of the Banking Act.",core,9,3,3
APS-112,APS-112-S5,10,Previous exercise of discretion,Any exercise of APRA's discretion under a previous version of this Prudential Standard continues to have effect as though exercised under the corresponding power in the current Standard.,"10. An exercise of APRA's discretion (such as an approval, waiver or direction) under a previous version of this Prudential Standard continues to have effect as though exercised pursuant to a corresponding power (if any) exercisable by APRA under this Prudential Standard.",core,10,4,4
APS-112,APS-112-S6,11-13,Scope,"Certain items are excluded from scope including APS 111 deductions, APS 120 securitisation exposures, covered bond SPV liabilities, and APS 116 market risk items without counterparty credit risk. ADIs must apply this Standard to overseas banking subsidiaries' credit exposures, except where a New Zealand prudential authority's equivalent rules apply.","11. The following items are excluded from the scope of this Prudential Standard:
(a) assets or investments that are required to be deducted from Common Equity Tier 1 Capital, Tier 1 Capital, or Total Capital under Prudential Standard APS 111 Capital Adequacy: Measurement of Capital (APS 111);
(b) securitisation exposures that are subject to the requirements of Prudential Standard APS 120 Securitisation (APS 120), excluding funding-only or synthetic securitisations for which an ADI must include the underlying exposures in the pool in its calculation of the Regulatory Capital requirement for credit risk under this Prudential Standard;
(c) liabilities of a covered bond special purpose vehicle to an issuing ADI as specified in Prudential Standard APS 121 Covered Bonds; and
(d) items that are subject to capital requirements under Prudential Standard APS 116 Capital Adequacy: Market Risk that do not have counterparty credit risk exposure under Prudential Standard APS 180 Capital Adequacy: Counterparty Credit Risk (APS 180).
12. Subject to paragraph 13 of this Prudential Standard, an ADI must apply the requirements set out in this Prudential Standard to calculate risk-weighted assets (RWA) for any credit exposures of overseas banking subsidiaries that form part of the Level 2 group.
13. For the purpose of calculating the Level 2 Regulatory Capital requirement for the credit exposures of an overseas banking subsidiary that is prudentially regulated by a prescribed New Zealand authority, an ADI must calculate RWA using the prescribed New Zealand authority's equivalent prudential rules as in force from time to time.2, 3
2 Prescribed New Zealand authority has the meaning given in subsection 5(1) of the Banking Act.
3 For APS 112 purposes, an ADI may exclude credit risk RWA that arise from securities held in the trading book when applying the prescribed New Zealand authority's equivalent prudential rules.",core,11-13,4,4
APS-112,APS-112-S7,14,Definitions,"This section defines key terms used throughout the Prudential Standard, including bank, commitment, CCF, credit protection, defaulted exposure, LMI, LVR, non-standard loan, property exposure, RWA, SFT, SME, sovereign, and specialised lending.","14. The following definitions are used in this Prudential Standard:
(a) bank – means an ADI or overseas bank;
(b) commitment – has the meaning given in paragraphs 1 to 3 of Attachment C to this Prudential Standard;
(c) commodities finance – has the meaning given in paragraph 27(c) of Attachment B to this Prudential Standard;
(d) corporate exposure – has the meaning given in paragraph 18 of Attachment B to this Prudential Standard and includes general corporate exposures and specialised lending exposures;
(e) counterparty credit risk – means the risk that the counterparty to a transaction could default before the final settlement of the transaction's cash flows. An economic loss would occur if the transactions, or portfolio of transactions, with the counterparty has a positive economic value at the time of default;
(f) credit conversion factor (CCF) – means the percentage value used to convert an off-balance sheet exposure into an on-balance sheet equivalent;
(g) credit protection – means the extent of credit risk transference from the party buying credit protection to the party selling credit protection under the terms of a guarantee or credit derivative contract;
(h) defaulted exposure – means a non-performing exposure as defined in Prudential Standard APS 220 Credit Risk Management (APS 220);
(i) domestic public sector entity (PSE) – has the meaning given in paragraph 6 of Attachment B to this Prudential Standard;
(j) eligible bilateral netting agreement – means a netting agreement that meets the requirements set out in paragraph 9 of Attachment H to this Prudential Standard;
(k) eligible credit risk mitigation (CRM) – means any of the credit risk mitigation techniques detailed in Attachments G to J of this Prudential Standard;
(l) eligible financial collateral – means collateral listed in paragraphs 14 or 22 of Attachment G to this Prudential Standard;
(m) equity exposure – has the meaning given in paragraphs 34 to 37 of Attachment B to this Prudential Standard;
(n) general corporate exposure – means a corporate exposure that is not a specialised lending exposure;
(o) lenders' mortgage insurance (LMI) – means mortgage insurance that meets the requirements set out in paragraph 15 of Attachment A to this Prudential Standard;
(p) loan-to-valuation ratio (LVR) – means a ratio calculated by dividing the amount of the loan by the value of the property or properties used to secure repayment;
(q) netting set – has the meaning given in APS 180;
(r) non-standard loan – means a property exposure that does not satisfy any of the requirements set out in paragraphs 3 to 7 of Attachment A to this Prudential Standard, or a loan that has the meaning given in paragraph 19 of Attachment A to this Prudential Standard;
(s) object finance – has the meaning given in paragraph 27(b) of Attachment B to this Prudential Standard;
(t) off-balance sheet exposure – means an exposure which is within the scope of Attachment C to this Prudential Standard or APS 180;
(u) over-the-counter (OTC) derivative transaction – means a customised, privately negotiated, risk-shifting agreement, the value of which is derived from the value of an underlying asset;
(v) overseas bank – means a financial institution incorporated outside of Australia, which is not an ADI and:
(i) has the power to accept deposits in the ordinary course of business;
(ii) is supervised by the bank supervisor in its home country; and
(iii) is subject to substantially the same prudential requirements as ADIs;
(w) project finance – has the meaning given in paragraph 27(a) of Attachment B to this Prudential Standard;
(x) property exposure – has the meaning given in Attachment A to this Prudential Standard;
(y) related-party exposure – means the exposure of an ADI to a related entity as defined in Prudential Standard APS 222 Associations with Related Entities. A related-party exposure would be classified according to the asset class definitions in Attachment B of this Prudential Standard. For example, if an ADI has an exposure to a related entity that is a corporate counterparty, the exposure is classified as a corporate exposure;
(z) risk-weighted assets (RWA) – means the credit exposures of an ADI multiplied by a percentage factor, as calculated in accordance with paragraphs 19 to 21 of this Prudential Standard;
(aa) securities financing transaction (SFT) – means a transaction such as a repurchase agreement, reverse repurchase agreement or a securities lending and borrowing transaction where the value of the transaction depends on the market valuation of securities and the transaction is typically subject to margin agreements;
(bb) small- and medium-sized enterprise (SME) – has the meaning given in paragraph 22 of Attachment B to this Prudential Standard;
(cc) sovereign – has the meaning given in paragraph 3 of Attachment B to this Prudential Standard; and
(dd) specialised lending – has the meaning given in paragraph 26 of Attachment B to this Prudential Standard.",core,14,4,7
APS-112,APS-112-S8,15-18,Key principles,"ADIs must hold Regulatory Capital commensurate with credit risk using specified risk weights and CCFs, using ECAI ratings where appropriate. ADIs must have effective internal policies and controls for risk weight assignment, and may reduce capital requirements through LMI or eligible CRM techniques, provided effective policies and procedures are in place.","15. An ADI must hold Regulatory Capital commensurate with its exposure to credit risk, based on the application of specified risk weights and CCFs (where applicable) as set out in this Prudential Standard. Where appropriate, an ADI must use the ratings of external credit assessment institutions (ECAIs) to determine the credit rating grade and risk weight of an exposure, as set out in Attachments B and F to this Prudential Standard.
16. An ADI must establish and implement effective internal policies, processes, systems and controls to ensure that appropriate risk weights are assigned to its credit exposures.
17. An ADI may reduce its credit risk Regulatory Capital requirement through the use of LMI or eligible CRM techniques.
18. If an ADI seeks to use LMI or eligible CRM techniques to reduce its Regulatory Capital requirements, it must have established and implemented effective policies, procedures and systems that meet the requirements set out in this Prudential Standard. An ADI's policies and procedures must also address any residual risks such as legal, operational, liquidity and market risks that result from its use of CRM.",core,15-18,7,7
APS-112,APS-112-S9,19-21,Risk-weighting approach,"ADIs must calculate RWA for on-balance sheet exposures by multiplying book value by the relevant risk weight. Off-balance sheet non-SFT exposures require a two-step process: first determine EAD via Attachment C or APS 180, then multiply by the relevant risk weight. For SFTs, RWA must be calculated for counterparty exposure and for any credit or market risk in securities lent or posted as collateral.","Risk-weighted on-balance sheet assets
19. An ADI must calculate the RWA of an on-balance sheet exposure by multiplying the current book value of the exposure (including accrued interest or revaluations, and net of any provisions for defaulted exposures, partial write-off or associated depreciation) by the relevant risk weight. Where an ADI has liquid assets4 accounted for at amortised cost, the ADI may adjust its exposures for deductions from Common Equity Tier 1 Capital to reflect unrealised fair value losses at a portfolio level as allowed under paragraph 41 of Attachment D to APS 111.
Risk-weighted off-balance sheet exposures
20. The RWA of a non-SFT off-balance sheet exposure must be calculated by applying the following two-step process:
(a) first, the exposure amount or exposure at default (EAD), representing the on-balance sheet equivalent amount, must be determined according to:
(i) Attachment C to this Prudential Standard for any commitments; and
(ii) where the ADI is a significant financial institution, APS 180 for OTC and exchange-traded derivative transactions or long-settlement transactions. Where an ADI uses the adjusted current exposure method (CEM) under APS 180 and the transaction is collateralised, the ADI may also adjust the credit equivalent amount (CEA) by applying the comprehensive approach in Attachment G to this Prudential Standard;
(b) second, the resulting exposure amount or EAD must be multiplied by the relevant risk weight applicable to the counterparty or exposure type.
21. For SFTs, including securities lending transactions, an ADI must calculate:
(a) RWA arising from its exposure to the SFT counterparty, where EAD is calculated in accordance with Attachment G to this Prudential Standard and is multiplied by the relevant risk weight applicable to the SFT counterparty; and
(b) the capital requirement for the credit risk or market risk inherent in any securities the ADI lends or posts as collateral, if that risk remains with the ADI.
4 Refer to Prudential Standard APS 210 Liquidity.",core,19-21,7,8
APS-112,APS-112-S10,22-25,Credit risk mitigation,"Where multiple CRM techniques cover a single exposure, the ADI must divide the exposure into separately calculated portions. ADIs must not recognise additional CRM where an ECAI rating already incorporates CRM, or where there is material positive correlation between counterparty credit quality and the CRM technique. All CRM documentation must be legally binding and enforceable, with periodic reviews to confirm ongoing enforceability.","22. Where multiple CRM techniques cover a single exposure, an ADI must divide the exposure into portions covered by each CRM technique. The RWA of each portion must be calculated separately, and then totalled. If credit protection provided by a single protection provider has differing maturities, they must also be subdivided into separate protected portions.
23. An ADI must not recognise additional CRM on exposures where the risk weight is mapped from an ECAI issue-specific credit rating, and that credit rating already incorporates the recognition of CRM.
24. An ADI must not recognise the use of CRM where the credit quality of the counterparty has a material positive correlation with the CRM technique used, or with any resulting residual risks (e.g. collateral in the form of securities issued by the counterparty to the credit exposure is considered to have a material positive correlation with the credit quality of the original counterparty).
25. To obtain capital relief through the use of a CRM technique, all documentation must be binding on all parties and legally enforceable in all relevant jurisdictions. The ADI must have undertaken sufficient legal review to be satisfied of the legal enforceability of the CRM technique, and must undertake periodic reviews to confirm its ongoing enforceability.",core,22-25,8,8
